23,Kunkka,3,201235,1093.0,Carry,10,16,38,8,2012,August
50,Dazzle,2,201235,335.0,Support,2,11,9,8,2012,August
44,Phantom Assassin,2,201235,874.0,Carry,13,9,14,8,2012,August
76,Outworld Destroyer,2,201235,791.0,Carry,5,7,4,8,2012,August
28,Slardar,2,201235,516.0,Carry,2,14,8,8,2012,August
45,Pugna,2,201235,566.0,Support,7,8,14,8,2012,August
71,Spirit Breaker,1,201235,277.0,Carry,1,6,3,8,2012,August
30,Witch Doctor,1,201235,152.0,Support,1,4,2,8,2012,August
32,Riki,1,201235,500.0,Carry,8,1,14,8,2012,August
73,Alchemist,1,201235,436.0,Carry,2,6,9,8,2012,August
3,Bane,1,201235,250.0,Support,4,4,16,8,2012,August
11,Shadow Fiend,1,201235,497.0,Carry,7,3,3,8,2012,August
2,Axe,1,201235,259.0,Jungler,8,10,19,8,2012,August
63,Weaver,1,201235,297.0,Carry,3,5,1,8,2012,August
52,Leshrac,10,201236,2739.0,Semi-Carry,34,48,104,9,2012,September
86,Rubick,9,201236,2409.0,Semi-Carry,29,39,78,9,2012,September
55,Dark Seer,7,201236,2320.0,Semi-Carry,24,19,81,9,2012,September
27,Shadow Shaman,7,201236,1646.0,Support,10,40,65,9,2012,September
89,Naga Siren,7,201236,3004.0,Carry,30,19,55,9,2012,September
38,Beastmaster,6,201236,1556.0,Semi-Carry,9,33,58,9,2012,September
33,Enigma,5,201236,1683.0,Jungler,13,15,64,9,2012,September
29,Tidehunter,5,201236,1096.0,Support,24,7,68,9,2012,September
80,Lone Druid,5,201236,2406.0,Carry,27,14,57,9,2012,September
74,Invoker,5,201236,1654.0,Carry,12,17,45,9,2012,September
49,Dragon Knight,4,201236,1324.0,Carry,13,14,26,9,2012,September
40,Venomancer,4,201236,794.0,Support,6,21,48,9,2012,September
46,Templar Assassin,4,201236,1671.0,Carry,27,11,34,9,2012,September
39,Queen of Pain,4,201236,1410.0,Carry,29,9,37,9,2012,September
10,Morphling,4,201236,1888.0,Carry,24,16,18,9,2012,September
66,Chen,3,201236,737.0,Jungler,9,10,16,9,2012,September
61,Broodmother,3,201236,1210.0,Carry,7,11,16,9,2012,September
1,Anti-Mage,3,201236,1772.0,Carry,24,5,11,9,2012,September
90,Keeper of the Light,2,201236,443.0,Support,5,9,27,9,2012,September
21,Windrunner,2,201236,591.0,Semi-Carry,3,9,11,9,2012,September
60,Night Stalker,2,201236,667.0,Semi-Carry,6,4,12,9,2012,September
8,Juggernaut,2,201236,674.0,Carry,7,10,22,9,2012,September
58,Enchantress,2,201236,519.0,Jungler,6,6,18,9,2012,September
88,Nyx Assassin,1,201236,144.0,Support,1,9,10,9,2012,September
20,Vengeful Spirit,1,201236,138.0,Support,1,8,8,9,2012,September
25,Lina,1,201236,193.0,Support,4,4,2,9,2012,September
81,Chaos Knight,1,201236,212.0,Carry,2,3,1,9,2012,September
26,Lion,1,201236,204.0,Support,2,4,5,9,2012,September
41,Faceless Void,1,201236,650.0,Carry,11,2,9,9,2012,September
